step,value,wall_time,elapsed_min
49,0.0,1775331524,1.7
99,0.0,1775331581,2.65
101,0.0,1775331590,2.8
149,1.0,1775331641,3.65
199,1.0,1775331695,4.55
203,1.0,1775331702,4.66
249,2.0,1775331748,5.44
299,2.0,1775331799,6.27
305,2.0,1775331810,6.46
349,3.0,1775331855,7.21
399,3.0,1775331903,8.02
407,3.0,1775331913,8.18
449,4.0,1775331954,8.86
499,4.0,1775332002,9.67
509,4.0,1775332014,9.86
549,5.0,1775332052,10.49
